idioma,cod_pais,pais,parametro,anio_2010,anio_2011,anio_2012,anio_2013,anio_2014,anio_2015,anio_2016,anio_2017,anio_2018,anio_2019,anio_2020
esp,cl,Chile,ed_preescolar,108.2,113.3,114.3,79,81.7,82.3,82.4,81.8,82.2,84.8,0
esp,cl,Chile,ed_primaria,95.5,94.8,94.5,93.7,93.4,93.4,94,94.7,0,0,0
esp,cl,Chile,ed_secundaria,84.8,85.2,84.6,87.8,88.5,89,89,88.7,0,0,0
esp,cl,Chile,ed_terciaria,67.9,72.3,75.9,80,82.8,85.3,87.2,88.5,90.9,93.1,0
esp,co,Colombia,ed_preescolar,0,0,0,0,0,0,0,0,0,0,0
esp,co,Colombia,ed_primaria,91.9,91.8,90.2,90.2,90.5,91.9,93,93.1,92.9,0,0
esp,co,Colombia,ed_secundaria,75.3,77.3,75.7,76.3,75.6,75.6,76.2,76.6,77.5,0,0
esp,co,Colombia,ed_terciaria,39.4,43,45.3,48.7,51.4,53.3,55.5,56.4,55.3,55,0
esp,ec,Ecuador,ed_preescolar,48,52.6,56.3,63.9,72.6,73,73,70.4,66.1,63,56
esp,ec,Ecuador,ed_primaria,92.6,92,91.7,91.5,91.4,91.7,91.7,91.6,90.9,0,0
esp,ec,Ecuador,ed_secundaria,71.8,72.8,76.2,80.1,83.4,84.7,85.9,85.3,84.7,0,0
esp,ec,Ecuador,ed_terciaria,0,0,39.8,40.3,0,44.9,0,0,47.6,47.9,0
esp,uy,Uruguay,ed_preescolar,90.7,89.1,91.1,92.3,92.5,94,94.2,93.4,95,95.9,0
esp,uy,Uruguay,ed_primaria,99.5,99.4,99.2,99.5,96.6,99.5,99.6,99.4,0,0,0
esp,uy,Uruguay,ed_secundaria,0,73.5,74.7,0,76.7,81.6,83.3,88.2,0,0,0
esp,uy,Uruguay,ed_terciaria,51.2,0,0,59.9,60.7,59.7,62.5,63.1,97.4,102.6,0
eng,cl,Chile,ed_preprimary,108.2,113.3,114.3,79,81.7,82.3,82.4,81.8,82.2,84.8,0
eng,cl,Chile,ed_primary,95.5,94.8,94.5,93.7,93.4,93.4,94,94.7,0,0,0
eng,cl,Chile,ed_secondary,84.8,85.2,84.6,87.8,88.5,89,89,88.7,0,0,0
eng,cl,Chile,ed_terciary,67.9,72.3,75.9,80,82.8,85.3,87.2,88.5,90.9,93.1,0
eng,co,Colombia,ed_preprimary,0,0,0,0,0,0,0,0,0,0,0
eng,co,Colombia,ed_primary,91.9,91.8,90.2,90.2,90.5,91.9,93,93.1,92.9,0,0
eng,co,Colombia,ed_secondary,75.3,77.3,75.7,76.3,75.6,75.6,76.2,76.6,77.5,0,0
eng,co,Colombia,ed_terciary,39.4,43,45.3,48.7,51.4,53.3,55.5,56.4,55.3,55,0
eng,ec,Ecuador,ed_preprimary,48,52.6,56.3,63.9,72.6,73,73,70.4,66.1,63,56
eng,ec,Ecuador,ed_primary,92.6,92,91.7,91.5,91.4,91.7,91.7,91.6,90.9,0,0
eng,ec,Ecuador,ed_secondary,71.8,72.8,76.2,80.1,83.4,84.7,85.9,85.3,84.7,0,0
eng,ec,Ecuador,ed_terciary,0,0,39.8,40.3,0,44.9,0,0,47.6,47.9,0
eng,uy,Uruguay,ed_preprimary,90.7,89.1,91.1,92.3,92.5,94,94.2,93.4,95,95.9,0
eng,uy,Uruguay,ed_primary,99.5,99.4,99.2,99.5,96.6,99.5,99.6,99.4,0,0,0
eng,uy,Uruguay,ed_secondary,0,73.5,74.7,0,76.7,81.6,83.3,88.2,0,0,0
eng,uy,Uruguay,ed_terciary,51.2,0,0,59.9,60.7,59.7,62.5,63.1,97.4,102.6,0
